from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
Hajnowka,Pruzana,"Around September 4, 1941","Lorries for women and children, men on foot",Forced evacuation by German Gestapo.,45233.txt,52.7317575,23.5712488,52.5581924,24.456711
Pruzana Ghetto,Narew,Shortly after September 1941,Horse-drawn wagon hidden under straw,Escape from the ghetto using false papers arranged by mother.,45233.txt,,,53.2262351,22.0692701
Narew,Brest-Litovsk,Shortly after liberation by Russians in 1944 or early 1945,Not mentioned,Attempt to reclaim family home after liberation.,45233.txt,53.2262351,22.0692701,52.093751,23.6851851
Brest-Litovsk,Lodz,Around June 1945 (on narrator's birthday),Cattle wagons,"Relocation to Lodz, a central gathering place for Jewish survivors after the war.",45233.txt,52.093751,23.6851851,51.7728245,19.4784857
Lodz,New York,Early 1960,Not mentioned,Emigration due to disillusionment with political situation and mother's encouragement.,45233.txt,51.7728245,19.4784857,40.7127281,-74.0060152
New York,Scotland,1965,Not mentioned,"Marriage to Scottish husband, Andrew Boddy.",45233.txt,40.7127281,-74.0060152,,
"Kiev, Ukraine","Meldorf, Germany",May-June 1942,Train (boxcar),Forced deportation by Nazis during WWII,45714.txt,50.4500336,30.5241361,54.08988,9.070633
"Meldorf, Germany","St. Petersburg (Frau Schwartz resort), Germany",Between 1942-1945,Train,Forced labor to assist wounded German soldiers,45714.txt,54.08988,9.070633,,
"St. Petersburg (Frau Schwartz resort), Germany","Meldorf, Germany",Between 1942-1945,Train,Return to main concentration camp after temporary labor assignment,45714.txt,,,54.08988,9.070633
"Meldorf, Germany","Neustadt, Germany",Between 1942-1945,Truck,Transferred to another labor camp,45714.txt,54.08988,9.070633,49.3539802,8.1350021
"Neustadt, Germany","Meldorf, Germany",Between 1942-1945,Truck,Return to main concentration camp after temporary labor assignment,45714.txt,49.3539802,8.1350021,54.08988,9.070633
"Meldorf, Germany","Bergedorf/Hamburg area, Germany",May 1945,American military trucks,Liberation by American and British forces,45714.txt,54.08988,9.070633,,
Germany,"Ellis Island, New York, USA","May 19, 1950",Ship (General Howze),Immigration to the United States as a displaced person,45714.txt,,,40.6985935,-74.0420135
"Ellis Island, New York, USA","Kentucky, USA",1950,Not explicitly mentioned,Assigned to work for sponsor picking tobacco worms,45714.txt,40.6985935,-74.0420135,37.5726028,-85.1551411
"Kentucky, USA","Madison Heights, Michigan, USA",Late 1950 or early 1951,Not explicitly mentioned,Moved to Michigan for better employment opportunities,45714.txt,37.5726028,-85.1551411,42.4858692,-83.1052028
"Madison Heights, Michigan, USA","Royal Oak, Michigan, USA",Not explicitly mentioned,Not explicitly mentioned,Relocation within Michigan after remarriage,45714.txt,42.4858692,-83.1052028,42.4894801,-83.1446485
"Royal Oak, Michigan, USA","Comins, Michigan, USA",Not explicitly mentioned,Not explicitly mentioned,Later life relocation,45714.txt,42.4894801,-83.1446485,44.8058487,-84.0513917
"Comins, Michigan, USA","Kiev, Ukraine",November 1991,Airplane,Reunion with brother after 50 years,45714.txt,44.8058487,-84.0513917,50.4500336,30.5241361
"Kiev, Ukraine","Comins, Michigan, USA",Late 1991,Airplane,Return home after visiting brother,45714.txt,50.4500336,30.5241361,44.8058487,-84.0513917
"Swinemünde, Pomerania","Greifswald, Eastern Germany",1945,,Family relocation after the war and parents' separation,46030.txt,53.9097477,14.2510703,,
Greifswald,Holland,circa 1947,,Mother sent Konrad and two siblings to relatives due to difficulty managing seven children alone,46030.txt,54.095791,13.3815238,,
Holland,"Berlin, Germany",late 1940s,,Mother established herself professionally in Berlin and called children back,46030.txt,,,52.510885,13.3989367
Berlin,"Bavaria, Germany",1950s,,Attended boarding school for three years,46030.txt,,,48.9467562,11.4038717
Bavaria,Berlin,late 1950s,,Returned to Berlin to complete high school,46030.txt,,,,
Berlin,"Amsterdam, Holland",1963,,Continued university studies and worked at the Institute for War Documentation,46030.txt,,,52.3730796,4.8924534
Amsterdam,Berlin,1965,,Returned to complete PhD,46030.txt,52.3730796,4.8924534,,
Berlin,"Sydney, Australia",1976,,Accepted academic position at University of New South Wales,46030.txt,,,-33.8698439,151.2082848
"Sydney, Australia","Oxford, England",circa 1979,,Spent one and a half years at St. Antony's College following divorce,46030.txt,-33.8698439,151.2082848,,
"Oxford, England","Sydney, Australia",circa 1980-1981,,Returned to Australia after resolving marital issues,46030.txt,,,-33.8698439,151.2082848
"Sydney, Australia","Heidelberg, Germany",mid-1980s,,Visiting professorship at Jewish high school in Heidelberg,46030.txt,-33.8698439,151.2082848,49.4093582,8.694724
"Heidelberg, Germany","Sydney, Australia",1987,,Returned to Australia and began involvement with Special Investigations Unit (SIU),46030.txt,49.4093582,8.694724,-33.8698439,151.2082848
"Sydney, Australia","Eastern Europe (various locations including Moscow, Prague, Riga)",late 1980s - early 1990s,,Conducted archival research for Australian War Crimes Commission,46030.txt,-33.8698439,151.2082848,,
"Sydney, Australia","Washington D.C., USA",mid-1990s,,Research fellowship at the Holocaust Museum,46030.txt,-33.8698439,151.2082848,38.8950368,-77.0365427
"Washington D.C., USA","Sydney, Australia",mid-1990s,,Returned to Australia after fellowship,46030.txt,38.8950368,-77.0365427,-33.8698439,151.2082848
"Sydney, Australia","Frankfurt, Germany",late 1990s,,Visiting professorship teaching Jewish Studies,46030.txt,-33.8698439,151.2082848,50.1106444,8.6820917
"Frankfurt, Germany","Sydney, Australia",late 1990s,,Returned to Australia after teaching in Frankfurt,46030.txt,50.1106444,8.6820917,-33.8698439,151.2082848
"Sydney, Australia","Chicago, USA",late 1990s,,Expert witness in war crimes deportation trials,46030.txt,-33.8698439,151.2082848,41.8755616,-87.6244212
"Sydney, Australia","Toronto, Canada",late 1990s,,Expert witness in war crimes deportation trials,46030.txt,-33.8698439,151.2082848,,
"Sydney, Australia","Vancouver, Canada",1998,,Expert witness in war crimes deportation trial,46030.txt,-33.8698439,151.2082848,49.2608724,-123.113952
"Polana, Czechoslovakia",School building in Polana,April 1944 (first day after Passover),Not specified,Rounded up by Hungarian authorities and held temporarily before deportation,46187.txt,,,,
Polana,Svalava (Szolyva),April 1944,Possibly small train (used for wood transport),Deportation to ghetto,46187.txt,49.5514067,23.6826782,48.5460735,22.9895489
Svalava (Szolyva),Munkacs (Mukacevo) ghetto,April 1944,Regular train,Deportation to ghetto,46187.txt,48.5460735,22.9895489,,
Munkacs (Mukacevo) ghetto,Auschwitz concentration camp,May 1944,Boxcar train,Deportation to concentration camp,46187.txt,,,50.0389061,19.1712984
Auschwitz concentration camp,Mauthausen concentration camp,May 1944 (around Shavuot),Boxcar train,Transferred to another concentration camp,46187.txt,50.0389061,19.1712984,,
Mauthausen concentration camp,Melk labor camp,Summer 1944,Not specified (likely train),Transferred to forced labor camp,46187.txt,,,,
Melk labor camp,Mauthausen concentration camp,Late March 1945,Not specified (likely train),Evacuation due to approaching Allied forces,46187.txt,,,,
Mauthausen concentration camp,Gunskirchen concentration camp,April 1945,Forced march (on foot),Evacuation to avoid liberation by Soviet forces,46187.txt,,,,
Gunskirchen concentration camp,Linz area (American-run displaced persons camp),May 1945 (after liberation),On foot,"Seeking food, shelter, and medical assistance after liberation",46187.txt,,,,
Linz area (DP camp),"Plzen, Czechoslovakia",May-June 1945,Truck,Returning home after liberation,46187.txt,,,,
"Plzen, Czechoslovakia","Budapest, Hungary",June 1945,"Train (interrupted by bombed bridges, partial walking)",Continuing journey home,46187.txt,,,47.4978789,19.0402383
"Budapest, Hungary",Munkacs (Mukacevo),June 1945,Train,Continuing journey home,46187.txt,47.4978789,19.0402383,48.4294746,22.7116263
Munkacs (Mukacevo),"Bilky, Czechoslovakia",June 1945,Not specified,"Heard his brother Mendel was there, went to reunite with him",46187.txt,48.4294746,22.7116263,,
"Bilky, Czechoslovakia","Polana, Czechoslovakia",Summer 1945,Not specified,Brief visit to obtain birth certificate,46187.txt,,,,
"Bilky, Czechoslovakia","Uzhorod, Czechoslovakia",Late summer 1945,Not specified,To obtain false passports and leave Soviet-controlled area,46187.txt,,,,
"Uzhorod, Czechoslovakia","Bratislava, Czechoslovakia",Late summer 1945,Not specified,"Escaping Soviet-controlled area, heading towards Prague",46187.txt,,,,
"Bratislava, Czechoslovakia","Prague, Czechoslovakia",Late summer 1945,Train,Reuniting with sister Cilia and other family members,46187.txt,,,,
"Prague, Czechoslovakia","Karlovy Vary (Carlsbad), Czechoslovakia",Late 1945,Not specified,Living with sister Cilia and brother-in-law Fred Moss,46187.txt,,,,
"Karlovy Vary, Czechoslovakia",Denmark,1946,Bus,Emigrating to the United States,46187.txt,,,55.670249,10.3333283
Denmark,Sweden,1946,Not specified,Continuing journey to the United States,46187.txt,55.670249,10.3333283,59.6749712,14.5208584
Sweden,"New York, USA",1946,Ship (Gripsholm),Immigrating to the United States,46187.txt,59.6749712,14.5208584,40.7127281,-74.0060152
Sighet,Sighet Ghetto,April 1944,Walking,Forced relocation by Hungarian gendarmerie into the ghetto,46499.txt,47.9283242,23.8915583,,
Sighet Ghetto,Sighet Synagogue,May 1944,Walking,Gathering point before deportation,46499.txt,,,,
Sighet Synagogue,Auschwitz-Birkenau,"May 7, 1944",Train (cattle car),Deportation to concentration camp,46499.txt,,,50.0346203,19.1807846
Auschwitz-Birkenau,Christianstadt (between Katowice and Cracow),Summer 1944 (around August),Train,Transferred to forced labor camp,46499.txt,50.0346203,19.1807846,,
Christianstadt,Bergen-Belsen,December 1944 - March 1945,Walking (death march),Evacuation due to advancing Soviet forces,46499.txt,50.7663351,15.0627662,48.8601371,2.4001275
Bergen-Belsen,DP hospital in Bergen-Belsen,April 1945,Unknown (likely carried or assisted),Hospitalization after liberation due to severe illness,46499.txt,48.8601371,2.4001275,,
Bergen-Belsen DP hospital,DP camp in Bergen-Belsen,Mid-1945,Unknown,Recovery and relocation to DP camp,46499.txt,,,,
Bergen-Belsen DP camp,Nuremberg,1945,Unknown,Reunited with husband and moved temporarily,46499.txt,,,49.453872,11.077298
Nuremberg,Ulm DP camp,1946,Unknown,Moved to DP camp to prepare for emigration,46499.txt,49.453872,11.077298,,
Ulm DP camp,"Rome, Italy",1946,Train,Accompanied groups of Jewish refugees for illegal immigration to Palestine,46499.txt,,,41.8933203,12.4829321
"Rome, Italy",Ulm DP camp,1946,Train,Returned after delivering refugees,46499.txt,41.8933203,12.4829321,,
Ulm DP camp,"Paris, France",1946,Train,Accompanied groups of Jewish refugees for illegal immigration to Palestine,46499.txt,,,,
"Paris, France",Ulm DP camp,1946,Train,Returned after delivering refugees,46499.txt,,,,
Ulm DP camp,Bremerhaven,Early 1947,Unknown (likely train),Departure point for emigration to the United States,46499.txt,,,53.5505392,8.5851945
Bremerhaven,"New York, USA","February 7, 1947",Ship (Marine Perch),Emigration to the United States,46499.txt,53.5505392,8.5851945,40.7127281,-74.0060152
New York,"Brooklyn, New York",February 1947,Unknown,Temporary stay upon arrival in the USA,46499.txt,40.7127281,-74.0060152,,
"Brooklyn, New York","Cleveland, Ohio",1947,Unknown,Settled and raised family,46499.txt,,,41.4996574,-81.6936772
"Cleveland, Ohio","Upper Nazareth, Israel",1982,Airplane,Remarriage and relocation to Israel,46499.txt,41.4996574,-81.6936772,32.7023065,35.3183216
"Lututów, Poland","Serock, Poland",June 1939,Not mentioned,Drafted into the Polish army,46852.txt,51.3712494,18.4346007,52.5135193,21.0731162
"Serock, Poland","Warsaw, Poland",September 1939,Walking,Fleeing German invasion during the war,46852.txt,52.5135193,21.0731162,,
"Warsaw, Poland","Forests near Lublin, Poland",September 1939,"Walking, horse and wagon",Escaping German bombing and advancing troops,46852.txt,,,51.2281286,22.5375042
"Forests near Lublin, Poland","Lodz, Poland",Late 1939,Walking,Returning home after the Polish defeat,46852.txt,51.2281286,22.5375042,51.7728245,19.4784857
"Lodz, Poland","Lututów, Poland",January 1940,Not mentioned,Returning home to family,46852.txt,51.7728245,19.4784857,51.3712494,18.4346007
"Lututów, Poland","Piotrków Trybunalski, Poland",Winter 1940,Not mentioned,Visiting father who had been imprisoned and then released to Piotrków,46852.txt,51.3712494,18.4346007,51.4082625,19.696167
"Lututów, Poland","Wieluń, Poland",June 1942,Truck,Deportation from Lututów ghetto,46852.txt,51.3712494,18.4346007,,
"Wieluń, Poland","Lodz Ghetto, Poland",August 1942,Not mentioned,Transferred to Lodz Ghetto after deportation,46852.txt,,,51.7899871,19.4603117
"Lodz Ghetto, Poland","Auschwitz-Birkenau, Poland",July 1944,Train (cattle cars),Final deportation from Lodz Ghetto,46852.txt,51.7899871,19.4603117,50.0346203,19.1807846
"Auschwitz-Birkenau, Poland","Siegmar-Schönau, Germany",Late summer 1944,Train,Sent to forced labor in airplane parts factory,46852.txt,50.0346203,19.1807846,50.8218544,12.8817304
"Siegmar-Schönau, Germany","Chemnitz, Germany",Late 1944,Truck,"Factory bombed, transferred to another forced labor factory",46852.txt,50.8218544,12.8817304,50.8323531,12.918914
"Chemnitz, Germany",Near Czechoslovakia (death march),March-April 1945,Walking (death march),Forced evacuation due to advancing Allied forces,46852.txt,50.8323531,12.918914,,
Near Czechoslovakia,"Farm near Bratislava, Czechoslovakia","May 5, 1945",Walking,Liberation and seeking shelter after war ended,46852.txt,,,,
"Farm near Bratislava, Czechoslovakia","Prague, Czechoslovakia",June 1945,"Horse and buggy, then walking and trucks",Seeking assistance from Red Cross after liberation,46852.txt,,,,
"Prague, Czechoslovakia","Mauthausen, Austria",Summer 1945,"Walking, trucks",Reuniting with wife's mother and sisters,46852.txt,,,,
"Mauthausen, Austria","Modena, Italy",Late 1945,Organized transport (Joint Distribution Committee),Relocation to displaced persons camp,46852.txt,,,44.5384728,10.9359609
"Modena, Italy","United States (via Hoboken, New Jersey)","November 29, 1949",Ship,Immigration to the United States,46852.txt,44.5384728,10.9359609,,
United States,"Lututów, Poland",1990,"Airplane, car",Visit hometown and memorialize family and experiences,46852.txt,,,51.3712494,18.4346007
"Plock, Poland",Dzialdowo (Soldau) concentration camp,"February 28, 1941",Truck,Expulsion of Jews from Plock by German authorities,47180.txt,52.5464521,19.7008606,,
